image,noise_type,psnr_noisy,ssim_noisy,psnr_denoised,ssim_denoised
baboon,gaussian,20.29951532504814,0.5718467946602803,24.517426681593626,0.6859685527995614
baboon,salt_pepper,18.28534410390098,0.5413264917275332,22.08077041343295,0.526799977948067
barbara,gaussian,20.296601262425042,0.42929190785408383,30.94219128944989,0.8909362225604962
barbara,salt_pepper,18.327295655890765,0.44058117742360786,25.864597234742863,0.7681888276477356
bridge,gaussian,20.329583581814088,0.5363924645195652,25.482989868312522,0.7045440729069165
bridge,salt_pepper,18.235839424713053,0.5189135096368335,23.91965618468754,0.6218477425548837
coastguard,gaussian,20.334588637427387,0.4345686352254337,27.712766066000523,0.7180471786534988
coastguard,salt_pepper,18.40321196843808,0.44003023425290977,25.58747900757239,0.5670790402288529
comic,gaussian,20.374764716024956,0.632130435756134,25.46997693641085,0.8453189738466309
comic,salt_pepper,18.105789108583686,0.6087199468412936,23.627300902099275,0.7803392897321347
face,gaussian,20.98274284066435,0.3033448858749174,29.555307980567083,0.6793810587921324
face,salt_pepper,17.51583368195079,0.3506737648181671,30.62373816105984,0.7259461286399255
flowers,gaussian,20.503687701515723,0.4359934035036238,27.932212312135768,0.8071396866032592
flowers,salt_pepper,17.9207677067256,0.4457236663826915,26.04172156057729,0.776504364383597
foreman,gaussian,20.654730198966412,0.33419208842145137,30.206126025364934,0.8920796388423853
foreman,salt_pepper,17.829522863045458,0.3787554189260582,29.337515102738323,0.8985696115569748
lenna,gaussian,20.25500501303116,0.30675940772987015,31.38161789257503,0.8318106175446285
lenna,salt_pepper,18.39226643332756,0.33792942385204594,31.23349082233529,0.8270314804306373
man,gaussian,20.686629668009257,0.44110272360335373,27.033009039091507,0.7130314747536761
man,salt_pepper,17.901820883305774,0.44763471472160743,25.83927665513918,0.7015879832157552
monarch,gaussian,20.202289306011597,0.3083998660483899,31.57815521965962,0.9165313076848626
monarch,salt_pepper,18.47025012085738,0.3428497762582439,31.050515530595675,0.9243225868585139
pepper,gaussian,20.324357522806903,0.2968723781285336,31.663203169309313,0.8323098111746925
pepper,salt_pepper,18.299567701924726,0.3340844214261914,32.10564022320181,0.8423833961586515
ppt3,gaussian,21.680628232022357,0.3931180198635657,27.331354124383832,0.9279203702393602
ppt3,salt_pepper,16.739077602217044,0.4274395103517484,23.181201466135448,0.9388249860285222
zebra,gaussian,20.479902254095887,0.5071392714158004,27.561620587696083,0.7545517691241916
zebra,salt_pepper,18.186514530978474,0.49373621348957236,27.012664103460704,0.7246240467183189
